Gene	log2FoldChange	pvalue	padj
hsa-miR-502-3p	-0.790094134	0.210938409	0.31913191
hsa-miR-4488	1.431589635	0.217410875	0.327714921
hsa-miR-181d-5p	-1.093689281	0.218763331	0.328545662
hsa-miR-449a	1.01573786	0.221318622	0.3311702
hsa-miR-4429	-0.880284268	0.228617962	0.340848597
hsa-miR-151a-3p	0.662869374	0.23740436	0.352665897
hsa-miR-375	-0.983034877	0.238380701	0.35283786
hsa-miR-708-5p	-0.935419482	0.24100993	0.3554463
hsa-miR-140-5p	-0.755409485	0.248132454	0.36463909
hsa-miR-340-5p	0.778109435	0.250120932	0.366248508
hsa-miR-151a-5p	-0.650445431	0.254923657	0.369533656
hsa-miR-1246	1.599345209	0.255016388	0.369533656
hsa-miR-362-5p	0.830295048	0.255068352	0.369533656
hsa-miR-224-3p	0.775044485	0.262907625	0.379549741
hsa-miR-34a-3p	-0.722860611	0.264558626	0.380593111
hsa-miR-532-3p	-0.848132592	0.270327934	0.386760916
hsa-miR-24-2-5p	0.82682091	0.270732641	0.386760916
hsa-miR-31-3p	0.976608261	0.271963677	0.387170512
hsa-miR-3909	-0.820554629	0.274877668	0.389964858
hsa-miR-660-5p	0.646702185	0.276646155	0.391120426
hsa-miR-3065-5p	0.954739573	0.278867412	0.392893965
hsa-let-7a-5p	-0.679560441	0.279997612	0.392893965
hsa-miR-423-5p	-0.729198172	0.280775443	0.392893965
hsa-miR-598-3p	0.754177851	0.284274398	0.396437085
hsa-miR-425-3p	0.779042593	0.28658324	0.398302131
hsa-miR-30c-1-3p	-1.005006109	0.291538018	0.403819553
hsa-miR-92b-5p	-0.89945351	0.307286015	0.42419955
hsa-miR-489-3p	-0.858112287	0.309911687	0.426388563
hsa-miR-193a-3p	0.531123522	0.31451525	0.431275092
hsa-miR-222-5p	0.904278792	0.323215747	0.441618574
hsa-miR-331-5p	-0.733161641	0.324212661	0.441618574
hsa-miR-181b-5p	-0.490642652	0.331523377	0.448642462
hsa-miR-24-3p	-0.603412044	0.331557722	0.448642462
hsa-miR-769-3p	-0.7922774	0.359543879	0.484911153
hsa-miR-34b-3p	0.83215879	0.368924518	0.494009613
hsa-miR-500a-3p	-0.546100843	0.369031007	0.494009613
hsa-miR-744-3p	-0.806028182	0.369904759	0.494009613
hsa-miR-619-5p	-0.702595755	0.371785747	0.494909599
hsa-miR-22-3p	0.52773914	0.389121632	0.516310256
hsa-miR-320c	-0.524740352	0.391239401	0.517445659
hsa-miR-92b-3p	-0.66564661	0.394477799	0.520051117
hsa-miR-1537-3p	0.809494301	0.39579415	0.520114107
hsa-miR-7-1-3p	0.532953133	0.398345344	0.521794221
hsa-miR-3687	-0.781901902	0.404188856	0.526651915
hsa-miR-501-5p	0.730392347	0.404622813	0.526651915
hsa-miR-374a-5p	0.564570746	0.41272452	0.535497004
hsa-miR-146b-5p	0.420217271	0.416294966	0.538425665
hsa-miR-155-5p	0.46515516	0.443484582	0.571788298
hsa-miR-30b-5p	0.480653996	0.44573153	0.572883784
hsa-let-7a-3p	-0.468445982	0.449065695	0.575365422
hsa-miR-181c-5p	-0.488224888	0.451269319	0.576387604
hsa-miR-181a-3p	0.642586126	0.4625305	0.587230278
hsa-miR-421	0.485928458	0.463128358	0.587230278
hsa-miR-590-5p	-0.56715484	0.464055147	0.587230278
hsa-miR-98-5p	0.390421601	0.475973138	0.60045842
hsa-miR-148a-3p	0.59033554	0.483009385	0.607465791
hsa-miR-181a-5p	0.45851942	0.488370081	0.612329459
hsa-miR-4454	-0.447448751	0.494848796	0.618560995
hsa-miR-671-5p	-0.524196948	0.503181217	0.627064738
hsa-miR-151b	-0.360059243	0.510768671	0.634591379
hsa-let-7f-1-3p	0.435726815	0.527365397	0.653232063
hsa-miR-93-3p	0.365365557	0.531629708	0.656530664
hsa-miR-944	0.51621994	0.533908068	0.657364288
hsa-miR-378d	-0.396828534	0.538157361	0.660612329
hsa-miR-10a-5p	-0.423166824	0.543577495	0.665273949
hsa-miR-92a-1-5p	0.506056529	0.546293339	0.666607943
hsa-miR-30e-5p	0.354833357	0.551372625	0.670809425
hsa-miR-30e-3p	-0.35414685	0.562793609	0.682678639
hsa-let-7f-2-3p	-0.418287108	0.586301745	0.708015727
hsa-miR-138-5p	-0.511717303	0.587134993	0.708015727
hsa-let-7g-3p	0.376339041	0.595306001	0.715233399
hsa-miR-324-5p	-0.330500105	0.596740089	0.715233399
hsa-miR-532-5p	-0.437671319	0.598353794	0.715233399
hsa-miR-27b-5p	-0.423008366	0.608859863	0.724244517
hsa-miR-7-5p	0.481075496	0.609425264	0.724244517
hsa-miR-27a-5p	0.395260986	0.612474649	0.725096316
hsa-let-7i-5p	0.323383773	0.613679077	0.725096316
hsa-miR-2110	-0.370642257	0.620980621	0.731615099
hsa-miR-320d	-0.292060515	0.63907378	0.750774355
hsa-miR-339-5p	-0.316870453	0.644109233	0.754527959
hsa-miR-221-5p	0.324686136	0.647379171	0.756197892
hsa-miR-590-3p	0.2934618	0.650348258	0.757507914
hsa-miR-3591-3p	0.683884389	0.655440811	0.761276862
hsa-miR-339-3p	-0.333208673	0.665015054	0.770215176
hsa-miR-574-5p	-0.245298325	0.676030531	0.780767656
hsa-miR-628-5p	0.313203707	0.690722592	0.79549512
hsa-miR-629-3p	0.354928053	0.698581563	0.802292552
hsa-miR-95-3p	-0.310765239	0.704765416	0.807133577
hsa-miR-378c	-0.232493425	0.707891542	0.808455522
hsa-miR-192-5p	0.235424131	0.725506247	0.824038307
hsa-miR-188-5p	-0.297231191	0.728760392	0.824038307
hsa-miR-9-5p	0.24064782	0.729748462	0.824038307
hsa-miR-324-3p	-0.19326809	0.732125418	0.824038307
hsa-miR-3613-3p	0.243329714	0.732330187	0.824038307
hsa-miR-500b-5p	0.264902756	0.733595079	0.824038307
hsa-miR-221-3p	0.184565161	0.736885959	0.825473342
hsa-miR-335-5p	-0.228726899	0.740011277	0.826715595
hsa-miR-652-3p	0.194630311	0.756023286	0.840631514
hsa-miR-501-3p	-0.230349841	0.756568362	0.840631514
hsa-miR-22-5p	0.222937268	0.759502164	0.841610506
hsa-miR-187-3p	0.294052053	0.763223786	0.841775377
hsa-miR-627-5p	-0.262662765	0.763757171	0.841775377
hsa-miR-6087	-0.262582432	0.767223727	0.84332903
hsa-miR-4792	-0.227235778	0.784353238	0.85985248
hsa-miR-941	0.245615093	0.79040796	0.86252425
hsa-let-7g-5p	-0.168282655	0.790997849	0.86252425
hsa-miR-101-3p	0.16593114	0.794490278	0.86403452
hsa-miR-338-5p	-0.210325098	0.811108868	0.879774169
hsa-let-7i-3p	0.160645663	0.818689181	0.885653204
hsa-miR-146a-5p	0.149366123	0.824921865	0.890047275
hsa-miR-128-3p	-0.123526616	0.835676711	0.897975399
hsa-miR-625-3p	0.144552453	0.836673931	0.897975399
hsa-miR-545-3p	0.143188509	0.838840434	0.897975399
hsa-miR-1301-3p	0.124931783	0.844182326	0.901340504
hsa-miR-203a	-0.175068188	0.847026135	0.902027832
hsa-miR-23a-3p	-0.093656397	0.852565613	0.905574874
